x,rho,vitesse,pression
0.002,0.938303,40.0749,262535
0.006,0.936083,41.5563,261666
0.01,0.93371,43.1425,260739
0.014,0.931311,44.7496,259802
0.018,0.928894,46.3718,258859
0.022,0.926461,48.0082,257911
0.026,0.924013,49.6579,256958
0.03,0.921551,51.3204,256001
0.034,0.919077,52.995,255040
0.038,0.91659,54.6812,254076
0.042,0.914093,56.3782,253108
0.046,0.911586,58.0857,252138
0.05,0.90907,59.8031,251165
0.054,0.906546,61.5299,250190
0.058,0.904014,63.2657,249214
0.062,0.901476,65.01,248236
0.066,0.898931,66.7624,247256
0.07,0.896381,68.5225,246276
0.074,0.893826,70.29,245295
0.078,0.891266,72.0645,244313
0.082,0.888703,73.8457,243331
0.086,0.886137,75.6333,242349
0.09,0.883568,77.427,241367
0.094,0.880996,79.2265,240385
0.098,0.878422,81.0315,239404
0.102,0.875847,82.8418,238423
0.106,0.873271,84.6571,237443
0.11,0.870694,86.4773,236464
0.114,0.868116,88.3021,235486
0.118,0.865539,90.1313,234509
0.122,0.862961,91.9647,233533
0.126,0.860384,93.8021,232558
0.13,0.857808,95.6434,231585
0.134,0.855233,97.4884,230614
0.138,0.852658,99.337,229644
0.142,0.850086,101.189,228676
0.146,0.847515,103.044,227709
0.15,0.844946,104.902,226745
0.154,0.842379,106.764,225782
0.158,0.839814,108.628,224822
0.162,0.837251,110.495,223863
0.166,0.834692,112.364,222907
0.17,0.832135,114.237,221953
0.174,0.829581,116.111,221001
0.178,0.82703,117.988,220052
0.182,0.824482,119.867,219105
0.186,0.821937,121.749,218160
0.19,0.819396,123.632,217218
0.194,0.816859,125.517,216278
0.198,0.814325,127.405,215341
0.202,0.811795,129.294,214406
0.206,0.809268,131.185,213474
0.21,0.806746,133.078,212545
0.214,0.804228,134.972,211618
0.218,0.801714,136.868,210694
0.222,0.799204,138.766,209772
0.226,0.796699,140.665,208854
0.23,0.794197,142.565,207938
0.234,0.791701,144.467,207025
0.238,0.789209,146.37,206114
0.242,0.786721,148.275,205207
0.246,0.784238,150.181,204302
0.25,0.78176,152.087,203401
0.254,0.779286,153.996,202502
0.258,0.776817,155.905,201606
0.262,0.774353,157.815,200713
0.266,0.771894,159.726,199822
0.27,0.76944,161.639,198935
0.274,0.766991,163.552,198051
0.278,0.764547,165.466,197169
0.282,0.762107,167.381,196291
0.286,0.759673,169.297,195415
0.29,0.757245,171.214,194543
0.294,0.754821,173.132,193673
0.298,0.752402,175.05,192806
0.302,0.749989,176.97,191943
0.306,0.747581,178.89,191082
0.31,0.745178,180.81,190225
0.314,0.74278,182.732,189370
0.318,0.740388,184.654,188518
0.322,0.738001,186.576,187670
0.326,0.73562,188.5,186824
0.33,0.733244,190.424,185981
0.334,0.730873,192.348,185142
0.338,0.728507,194.273,184305
0.342,0.726148,196.199,183472
0.346,0.723793,198.125,182641
0.35,0.721444,200.051,181813
0.354,0.719101,201.978,180989
0.358,0.716763,203.906,180167
0.362,0.71443,205.834,179349
0.366,0.712103,207.762,178533
0.37,0.709782,209.691,177721
0.374,0.707466,211.62,176911
0.378,0.705156,213.55,176105
0.382,0.702851,215.48,175301
0.386,0.700552,217.41,174501
0.39,0.698258,219.341,173703
0.394,0.69597,221.272,172909
0.398,0.693688,223.203,172117
0.402,0.691411,225.135,171329
0.406,0.68914,227.067,170543
0.41,0.686875,228.999,169760
0.414,0.684615,230.931,168981
0.418,0.68236,232.864,168204
0.422,0.680112,234.797,167431
0.426,0.677869,236.73,166660
0.43,0.675632,238.664,165892
0.434,0.6734,240.597,165127
0.438,0.671174,242.531,164365
0.442,0.668954,244.465,163607
0.446,0.666739,246.399,162851
0.45,0.66453,248.333,162098
0.454,0.662327,250.267,161348
0.458,0.660129,252.202,160600
